filename,lob,SectionID,SectionName,CLASLabel,ScreenField,CLASField,Type,Required,Length,Allowkeys,Min-Max,Tooltip,Enable,DropdownValue,StoredValue,ErrorMessage,Comments
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,,rdoCpPfPctofLossInd,"1.)CpPfPcntgLossInd
2.)CpPfPcntgLossPcntge
3.)CpPfPcntgLossAmt",RadioButton,,,,,"1.) ""Check if Percentage of Loss Deductible applies.  Need to complete both % and minimum deductible fields.""
",,,Y,,
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,,ddlCPPfSingleDedAmt,CpPfSingleDedAmt/CpPfMltDedSLocAllOthAmt/CpPfMltDedSPrlAllOthAmt,DropDownList, True ,,,,"1.) String.Empty
",,"1.)Proc name: uspSelect_CP_Dollar_Deductible
,Key name:PFDeductible,Paramater:"," Help_Value
", Single Deductible is required if selected.,
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,,ddlCPPfPcntgLossPcntg,CpPfMltDedSLocAllOthPct/CpPfMltDedSPrlAllOthPct/CpPfPcntgLossPcntge,DropDownList, True ,,,,"1.) ""Please select Percentage of Loss deductible.""
",,"1.)Proc name: uspSelect_CP_Percatge_Loss_Deductible
,Key name:PFPercent,Paramater:"," Help_Value
", Percentage of Loss Deductible percent is required if selected.,
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,,hdnThreeYear,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,,hdn3YGrossLossAmt,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,,hdnDelCount,,HiddenField,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliDeductibleType, Deductible Type,Minimum Deductible,ddlCPPfPcntgLossAmt,CpPfMltDedSLocAllOthAmt/CpPfMltDedSPrlAllOthAmt/CpPfPcntgLossAmt,DropDownList, True ,,,,"1.) ""Please select Percentage of Loss deductible minimum dollar deductible.""
",,"1.)Proc name: uspSelect_CP_Prct_Loss_Ded_Min_Dollar
,Key name:PFPercentMin,Paramater:"," Help_Value
", Percentage of Loss Deductible minimum amount is required if selected.,
CPPropertyInput.aspx,WebApplications,pnliInsuredValuesItem, COP Insured Values,Year,lblYear,,label,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliInsuredValuesItem, COP Insured Values,Building && Personal Property Values,lblTotalBldgBPP,,label,,,,,,,,,,
CPPropertyInput.aspx,WebApplications,pnliInsuredValuesItem, COP Insured Values,,txtYear3,CpPf3YrSmYear3,TextBox,, 4," 0-9,.",,"1.) ""Enter first prior year for Total Bldg and BPP Values.""
",,,,,
